Agency,Name,Position,Remuneration,Expenses,Year,Sector
B.C. Assessment,"Hilde, C",,75050,2935,2020,Crown corporations
B.C. Assessment,"Epps, L",,75070,1774,2020,Crown corporations
B.C. Assessment,"Johnson, B",,75184,0,2020,Crown corporations
B.C. Assessment,"McKay, L",,75184,223,2020,Crown corporations
B.C. Assessment,"Poirier, N",,75184,0,2020,Crown corporations
B.C. Assessment,"Gill, V",,75194,0,2020,Crown corporations
B.C. Assessment,"Barnes, K",,75206,0,2020,Crown corporations
B.C. Assessment,"Johnston, W",,75206,0,2020,Crown corporations
B.C. Assessment,"Benjaminsen, C",,75209,440,2020,Crown corporations
B.C. Assessment,"Grace, A",,75214,356,2020,Crown corporations
B.C. Assessment,"Wells, D",,75218,2148,2020,Crown corporations
B.C. Assessment,"Smith, A",,75223,0,2020,Crown corporations
B.C. Assessment,"Johansen, K",,75224,1393,2020,Crown corporations
B.C. Assessment,"Ross, M",,75224,72,2020,Crown corporations
B.C. Assessment,"Johnston, C",,75250,433,2020,Crown corporations
B.C. Assessment,"Lajeunesse, C",,75254,935,2020,Crown corporations
B.C. Assessment,"Shust, J",,75284,25,2020,Crown corporations
B.C. Assessment,"Carley, S",,75293,68,2020,Crown corporations
B.C. Assessment,"Zsombor, K",,75314,555,2020,Crown corporations
B.C. Assessment,"Winn, M",,75324,217,2020,Crown corporations
B.C. Assessment,"Roy, T",,75357,0,2020,Crown corporations
B.C. Assessment,"Townsend, M",,75474,1088,2020,Crown corporations
B.C. Assessment,"Larson, J",,75477,101,2020,Crown corporations
B.C. Assessment,"Zhong, S",,75510,0,2020,Crown corporations
B.C. Assessment,"Prete, K",,75532,0,2020,Crown corporations
B.C. Assessment,"Chan, L",,75651,608,2020,Crown corporations
B.C. Assessment,"Jama, H",,75758,0,2020,Crown corporations
B.C. Assessment,"Dhami, G",,75800,675,2020,Crown corporations
B.C. Assessment,"Therrien, D",,75816,0,2020,Crown corporations
B.C. Assessment,"Derickson, J",,75888,634,2020,Crown corporations
B.C. Assessment,"Yee, C",,75891,0,2020,Crown corporations
B.C. Assessment,"Matthes, S",,76062,588,2020,Crown corporations
B.C. Assessment,"Dergousoff, S",,76650,10753,2020,Crown corporations
B.C. Assessment,"Cook, D",,76700,0,2020,Crown corporations
B.C. Assessment,"Hilker, M",,76711,955,2020,Crown corporations
