Agency,Name,Position,Remuneration,Expenses,Year,Sector
BCIT,"Lee, Adelaide",,75220,0,2020/2021,Universities and Colleges
BCIT,"Wong, Christine, OnPui",,75268,0,2020/2021,Universities and Colleges
BCIT,"Gacek, Caroline",,75276,150,2020/2021,Universities and Colleges
BCIT,"Shepherd, Matth",,75342,0,2020/2021,Universities and Colleges
BCIT,"Kahlon, Harjoth",,75411,237,2020/2021,Universities and Colleges
BCIT,"Daxon, Ray",,75446,0,2020/2021,Universities and Colleges
BCIT,"Slater, Margo",,75532,0,2020/2021,Universities and Colleges
BCIT,"Williams, Steph",,75580,0,2020/2021,Universities and Colleges
BCIT,"Strujenco, Vict",,75594,321,2020/2021,Universities and Colleges
BCIT,"De, Stefano, Dia",,75627,1014,2020/2021,Universities and Colleges
BCIT,"Wong, Katherine",,75657,0,2020/2021,Universities and Colleges
BCIT,"Magantino, Davi",,75675,0,2020/2021,Universities and Colleges
BCIT,"Dhaliwal, Aneet",,75841,2835,2020/2021,Universities and Colleges
BCIT,"Hancock, Todd, N",,75936,0,2020/2021,Universities and Colleges
BCIT,"Di, Bella, John",,75947,0,2020/2021,Universities and Colleges
BCIT,"Phipps, Rosalin",,75970,2948,2020/2021,Universities and Colleges
BCIT,"Springer, Gail",,76085,608,2020/2021,Universities and Colleges
BCIT,"Deo, Ajeshni",,76199,0,2020/2021,Universities and Colleges
BCIT,"Jones, David, Cy",,76282,0,2020/2021,Universities and Colleges
BCIT,"Wajzer, Agata",,76310,2693,2020/2021,Universities and Colleges
BCIT,"Stovold, Matthe",,76378,0,2020/2021,Universities and Colleges
BCIT,"Miller, Keith, L",,76525,3904,2020/2021,Universities and Colleges
BCIT,"DeAngelis, Wayn",,76568,1854,2020/2021,Universities and Colleges
BCIT,"Manbachi, Moein",,76607,680,2020/2021,Universities and Colleges
BCIT,"Leung, Brent, Wi",,76733,0,2020/2021,Universities and Colleges
BCIT,"Soedhwa, Viresh",,76765,35,2020/2021,Universities and Colleges
BCIT,"Turnbull, Joann",,76790,352,2020/2021,Universities and Colleges
BCIT,"Bassi, Puneet",,76822,0,2020/2021,Universities and Colleges
BCIT,"Purdy, John",,76870,110,2020/2021,Universities and Colleges
BCIT,"Morency, Richar",,76892,0,2020/2021,Universities and Colleges
BCIT,"Sidhu, Monica",,76909,0,2020/2021,Universities and Colleges
BCIT,"Changizi, Neda",,76928,1374,2020/2021,Universities and Colleges
BCIT,"Zhang, Xing, G.",,76934,1676,2020/2021,Universities and Colleges
BCIT,"Wong, Michelle",,76954,0,2020/2021,Universities and Colleges
BCIT,"Wong, Angie, Sha",,77019,0,2020/2021,Universities and Colleges
BCIT,"Tarasenko, Serg",,77081,0,2020/2021,Universities and Colleges
BCIT,"Paraninfi, Anna",,77113,0,2020/2021,Universities and Colleges
BCIT,"McDonnell, Aida",,77139,0,2020/2021,Universities and Colleges
BCIT,"Frost, Les",,77295,0,2020/2021,Universities and Colleges
BCIT,"Tamanna, Omid",,77363,6587,2020/2021,Universities and Colleges
BCIT,"Sy, Hong",,77364,1722,2020/2021,Universities and Colleges
BCIT,"Bellaire, Thoma",,77398,3501,2020/2021,Universities and Colleges
BCIT,"Horsfall, Tim",,77398,0,2020/2021,Universities and Colleges
BCIT,"Kennedy, Vern, C",,77398,0,2020/2021,Universities and Colleges
BCIT,"Stewart, Alan, J",,77398,150,2020/2021,Universities and Colleges
BCIT,"Schmutter, Coli",,77430,0,2020/2021,Universities and Colleges
BCIT,"Sokolova, Anton",,77439,0,2020/2021,Universities and Colleges
BCIT,"Dickinson, Adam",,77459,0,2020/2021,Universities and Colleges
BCIT,"Fenrich, Peter",,77525,1920,2020/2021,Universities and Colleges
BCIT,"Brownlie, Allis",,77561,0,2020/2021,Universities and Colleges
BCIT,"Fengler, Adrian",,77573,0,2020/2021,Universities and Colleges
BCIT,"Jelstad, Todd",,77575,3626,2020/2021,Universities and Colleges
BCIT,"Petersen, Shery",,77663,0,2020/2021,Universities and Colleges
BCIT,"Singh, Preetpal",,77697,0,2020/2021,Universities and Colleges
BCIT,"Davids, Carsten",,77737,2086,2020/2021,Universities and Colleges
BCIT,"Wood, David, G",,77855,3036,2020/2021,Universities and Colleges
BCIT,"Dunfield, Airri",,77892,0,2020/2021,Universities and Colleges
BCIT,"Li, Joseph, Pak-",,77986,0,2020/2021,Universities and Colleges
BCIT,"Zhang, Xiaohui",,78009,840,2020/2021,Universities and Colleges
BCIT,"Simpson, Ying",,78045,302,2020/2021,Universities and Colleges
BCIT,"Ma, Gilbert, Kai",,78122,0,2020/2021,Universities and Colleges
BCIT,"Macaluso, Joann",,78171,0,2020/2021,Universities and Colleges
BCIT,"Kosub, Alexande",,78195,0,2020/2021,Universities and Colleges
BCIT,"Ennis, Brian, Ja",,78219,1374,2020/2021,Universities and Colleges
BCIT,"Andrews, Bryan",,78231,2165,2020/2021,Universities and Colleges
BCIT,"Santanna, Crosar",,78247,0,2020/2021,Universities and Colleges
BCIT,"Lvovski, Ilia",,78266,0,2020/2021,Universities and Colleges
BCIT,"McKay, David, Jo",,78417,315,2020/2021,Universities and Colleges
BCIT,"Deol, Rajen, Sin",,78443,2829,2020/2021,Universities and Colleges
BCIT,"Hawkins, Michel",,78511,803,2020/2021,Universities and Colleges
BCIT,"Bowal, Jessica",,78531,0,2020/2021,Universities and Colleges
BCIT,"Tittle, Forrest",,78534,0,2020/2021,Universities and Colleges
BCIT,"Kuo, Hsin, Hen",,78543,1363,2020/2021,Universities and Colleges
BCIT,"Tran, Vivian",,78546,0,2020/2021,Universities and Colleges
BCIT,"Terepocki, West",,78628,0,2020/2021,Universities and Colleges
BCIT,"Steen, Robin",,78677,0,2020/2021,Universities and Colleges
BCIT,"Thompson, Chris",,78685,6112,2020/2021,Universities and Colleges
BCIT,"Kiriian, Sergii",,78710,1363,2020/2021,Universities and Colleges
BCIT,"Singh, Gurdial",,78752,0,2020/2021,Universities and Colleges
BCIT,"Bhinder, Ramand",,78759,72,2020/2021,Universities and Colleges
BCIT,"Lee, Ingrid",,78803,0,2020/2021,Universities and Colleges
BCIT,"Chow, Amanda, Fu",,78849,1696,2020/2021,Universities and Colleges
BCIT,"Cook, Desmond, A",,78849,1889,2020/2021,Universities and Colleges
BCIT,"Heng, Susan",,78849,12055,2020/2021,Universities and Colleges
BCIT,"Moeller, Monika",,78849,19022,2020/2021,Universities and Colleges
BCIT,"Wilczek, Richar",,78867,0,2020/2021,Universities and Colleges
BCIT,"Wahl, Gregory",,78883,0,2020/2021,Universities and Colleges
BCIT,"Lo, Julie, A",,78919,0,2020/2021,Universities and Colleges
BCIT,"Sivia, Gagandee",,78985,0,2020/2021,Universities and Colleges
BCIT,"Leszczynski, Jo",,79038,3078,2020/2021,Universities and Colleges
BCIT,"Kramer, Bryan, J",,79107,0,2020/2021,Universities and Colleges
BCIT,"Dhaliwal, Arvin",,79218,2139,2020/2021,Universities and Colleges
BCIT,"Ram, Erika, Ashl",,79271,0,2020/2021,Universities and Colleges
BCIT,"Selesky, Kevin",,79394,0,2020/2021,Universities and Colleges
BCIT,"Tipton, Travis",,79398,0,2020/2021,Universities and Colleges
BCIT,"Van, Jaarsveld, Izelde",,79483,0,2020/2021,Universities and Colleges
BCIT,"Tashdjian, Raff",,79484,0,2020/2021,Universities and Colleges
BCIT,"Kolarski, Slobo",,79496,0,2020/2021,Universities and Colleges
BCIT,"Goetz, Christop",,79575,729,2020/2021,Universities and Colleges
BCIT,"Gotovac, Ivana",,79582,0,2020/2021,Universities and Colleges
BCIT,"Van, Beest, Harr",,79588,0,2020/2021,Universities and Colleges
BCIT,"Williams, Garet",,79588,0,2020/2021,Universities and Colleges
BCIT,"Ghazanfari, Hash",,79599,1148,2020/2021,Universities and Colleges
BCIT,"Child, Christop",,79615,0,2020/2021,Universities and Colleges
BCIT,"Easton, Thomas",,79662,0,2020/2021,Universities and Colleges
BCIT,"Singer, Zachary",,79727,2283,2020/2021,Universities and Colleges
BCIT,"Hudkins, Kevin",,79732,104,2020/2021,Universities and Colleges
BCIT,"Maclaren, Susan",,79761,0,2020/2021,Universities and Colleges
BCIT,"McLean, Carolin",,79866,0,2020/2021,Universities and Colleges
BCIT,"Samra, Rajpinde",,79944,0,2020/2021,Universities and Colleges
