Agency,Name,Position,Remuneration,Expenses,Year,Sector
City of Abbotsford,"Banman, Bruce",Councillor,47273,,2020,Government
City of Abbotsford,"Barkman, Lester",Councillor,47273,798,2020,Government
City of Abbotsford,"Blue, Sandra",Councillor,47273,966,2020,Government
City of Abbotsford,"Braun, Henry",Mayor,126583,1036,2020,Government
City of Abbotsford,"Chahal, Kelly",Councillor,47273,329,2020,Government
City of Abbotsford,"Falk, Brenda",Councillor,47273,229,2020,Government
City of Abbotsford,"Loewen, Dave",Councillor,47273,284,2020,Government
City of Abbotsford,"Ross, Patricia",Councillor,47273,279,2020,Government
City of Abbotsford,"Siemens, Ross",Councillor,47273,145,2020,Government
City of Abbotsford,"Ahmed, Maryam",Applications Analyst,83634,,2020,Government
City of Abbotsford,"Ahmed, Tahir",Planner,84420,,2020,Government
City of Abbotsford,"Allen, Stephanie",Planning Technician,76348,1409,2020,Government
City of Abbotsford,"Arens, Matthew",Trades IITechnician,76237,495,2020,Government
City of Abbotsford,"Armstrong, Kris",Trades II  Technician,76597,415,2020,Government
City of Abbotsford,"Barlow, Jeffrey",Water Operator  Supply,87003,1618,2020,Government
City of Abbotsford,"Batchelar, Christine",Planner,90201,762,2020,Government
City of Abbotsford,"Beaudry, Ryan",Planner,116317,713,2020,Government
City of Abbotsford,"Benjamin, Mark",Water Operator  Supply,75662,584,2020,Government
City of Abbotsford,"Bennett, John",Recreation Maintenance Coordinator,111817,1793,2020,Government
City of Abbotsford,"Berg, Jennifer",Building Official III,82518,3820,2020,Government
City of Abbotsford,"Bettles, Tanya",Environmental Coordinator,88307,1354,2020,Government
City of Abbotsford,"Birnie, A., Colleen",Senior Marketing Specialist,102467,,2020,Government
City of Abbotsford,"Bondesen, Mike",Water Operator  Supply,79803,1095,2020,Government
City of Abbotsford,"Borseth, Christina",Volunteer Coordinator,76989,1883,2020,Government
City of Abbotsford,"Bradwell, Kevin",Building Inspector I,81182,296,2020,Government
City of Abbotsford,"Bryndza, James",Planner,92790,564,2020,Government
City of Abbotsford,"Cade, Jason",Wastewater OperatorCollections,91792,1032,2020,Government
City of Abbotsford,"Cameron, Alan",Electrician Utilities Leadhand,93985,233,2020,Government
City of Abbotsford,"Campeau, Allan",Planner,89566,564,2020,Government
City of Abbotsford,"Carlson, Allan",Electrician  Leadhand,117273,1414,2020,Government
City of Abbotsford,"Chan, Alec",Buyer III,77018,922,2020,Government
City of Abbotsford,"Chaplin, Curtis",Airport Technician (Mechanical),88349,474,2020,Government
City of Abbotsford,"Choy, Howie",Assistant Planner,81280,183,2020,Government
City of Abbotsford,"Coleman, Michael",Parks Maintenance Coordinator,77744,1428,2020,Government
City of Abbotsford,"Collins, Erin",Works Inspector,85789,1582,2020,Government
City of Abbotsford,"Creech, Peter",Works Supervisor IRoads,76755,489,2020,Government
City of Abbotsford,"Crosman, Nick",Planner,89611,183,2020,Government
City of Abbotsford,"De, Haan, Stanley",Development Technologist II,81386,3247,2020,Government
City of Abbotsford,"Delint, Arie",Trades II (HVAC Technician),76046,412,2020,Government
City of Abbotsford,"Densmore, Gregg",Engineering Technologist,81293,525,2020,Government
City of Abbotsford,"Dhillon, Tejinder",Building Official III,88873,540,2020,Government
City of Abbotsford,"Differ, James",Sportsfield Turf Irrigation Coordinator,79609,275,2020,Government
City of Abbotsford,"Dileth, Kevin",Trades II Fire Technician,80061,310,2020,Government
City of Abbotsford,"Doman, Ryan",Works Inspector,78330,1026,2020,Government
City of Abbotsford,"Domshy, Allen",Works Supervisor I,82412,1499,2020,Government
City of Abbotsford,"Dragan, Raul",Fleet Services Coordinator,91003,2999,2020,Government
City of Abbotsford,"Du, Rongfeng",Wastewater Treatment Plant Operator III,92319,505,2020,Government
City of Abbotsford,"Dykstra, Ken",Engineering Technologist II,81281,570,2020,Government
City of Abbotsford,"El, Baghdady, John",Laboratory Technician I,77879,885,2020,Government
City of Abbotsford,"Engelbrecht, Jeremy",Wastewater Treatment Plant Operator III,82595,233,2020,Government
City of Abbotsford,"Enns, Dustin",Building Maintenance Supervisor,82067,707,2020,Government
City of Abbotsford,"Esselink, Will",Database Administrator,97855,,2020,Government
City of Abbotsford,"Ethier, Eric",Wastewater Treatment Plant Operator III,79251,3102,2020,Government
City of Abbotsford,"Fehr, Brayden",Bylaw Enforcement Officer II,79562,752,2020,Government
City of Abbotsford,"Fleming, Kim",Development Technologist II,84561,,2020,Government
City of Abbotsford,"Francis, Rhys",Engineering Technologist,82137,525,2020,Government
City of Abbotsford,"Frier, Randal",Recreation Maintenance Supervisor,83103,301,2020,Government
City of Abbotsford,"Funk, Wil",Engineering Technologist II,82468,225,2020,Government
City of Abbotsford,"Gilding, Danica",Community & Special Events Coordinator,78331,165,2020,Government
City of Abbotsford,"Gillingham, Dawn",Building Official III,90775,,2020,Government
City of Abbotsford,"Glasson, Stephen",Water OperatorDistribution,85245,1016,2020,Government
City of Abbotsford,"Goosen, Scott",Water Operator  Supply,83484,1384,2020,Government
City of Abbotsford,"Graham, Dwayne",Works Supervisor  Supply,105234,757,2020,Government
City of Abbotsford,"Scott, Darren",Works Supervisor  Supply,88864,1312,2020,Government
City of Abbotsford,"Sharma, Saakaar",Engineering Permits Coordinator,81102,75,2020,Government
City of Abbotsford,"SilliphantJohnston, Alex",Wastewater Treatment Plant Operator II,80274,233,2020,Government
