Agency,Name,Position,Remuneration,Expenses,Year,Sector
Vancouver Island Health,"Etherington, Jeremy",Executive Vice President & Chief,335804,6000,2020/2021,Health authorities
Vancouver Island Health,"MacNeil, Kathryn",President & CEO,413021,7933,2020/2021,Health authorities
Vancouver Island Health,"Kerrone, Kim",Vice President & Chief Financial Officer,329174,7474,2020/2021,Health authorities
Vancouver Island Health,"Elin Bjarnason, Lilja",Vice President Clinical Service Delivery,312447,7741,2020/2021,Health authorities
Vancouver Island Health,"Williams, Ben",Vice President Medicine and Quality and Chief Medical Executive,329008,7511,2020/2021,Health authorities
Vancouver Island Health,"Damstetter, Cheryl",Vice President Priority Populations & Initiatives,290840,2769,2020/2021,Health authorities
Vancouver Island Health,"Claiter-Larsen, Catherine",VP & Chief Information Officer,298689,6875,2020/2021,Health authorities
Vancouver Island Health,"Aabjerg, Lise M",,104127,5347,2020/2021,Health authorities
Vancouver Island Health,"Abadilla, Eloisa P",,107850,0,2020/2021,Health authorities
Vancouver Island Health,"Abalos, Lilibeth",,87832,0,2020/2021,Health authorities
Vancouver Island Health,"Abassi, Dominic",,89863,0,2020/2021,Health authorities
Vancouver Island Health,"Abaya, Brenda Lp",,77298,0,2020/2021,Health authorities
Vancouver Island Health,"Abbey, Darin",,107337,3511,2020/2021,Health authorities
Vancouver Island Health,"Abbott, Carrie K",,80045,711,2020/2021,Health authorities
Vancouver Island Health,"Abbott, Connor H",,111364,668,2020/2021,Health authorities
Vancouver Island Health,"Abbott, Jennifer E",,132151,310,2020/2021,Health authorities
Vancouver Island Health,"Abbott, Tanya C",,80245,0,2020/2021,Health authorities
Vancouver Island Health,"Abdullahi, Fatima",,97898,0,2020/2021,Health authorities
Vancouver Island Health,"Abdurahman, Diena",,75396,250,2020/2021,Health authorities
Vancouver Island Health,"Abejuela, Noemi Jr",,80588,4984,2020/2021,Health authorities
Vancouver Island Health,"Abel, Heather E",,94531,0,2020/2021,Health authorities
Vancouver Island Health,"Abermann, Susan",,128333,2677,2020/2021,Health authorities
Vancouver Island Health,"Abesamis, Cheryl G",,165344,0,2020/2021,Health authorities
Vancouver Island Health,"Abesamis, Honeylette G",,157933,156,2020/2021,Health authorities
Vancouver Island Health,"Ablaza, Alvin N",,92953,0,2020/2021,Health authorities
Vancouver Island Health,"Ablaza, Arlin",,85409,0,2020/2021,Health authorities
Vancouver Island Health,"Aboud, Robyn K",,81192,0,2020/2021,Health authorities
Vancouver Island Health,"Abouhassan, Halah R",,81242,0,2020/2021,Health authorities
Vancouver Island Health,"Abra, Amy E",,86684,0,2020/2021,Health authorities
Vancouver Island Health,"Abuan, Yolanda C",,89895,613,2020/2021,Health authorities
Vancouver Island Health,"Abuleal, Rosetta M",,92238,0,2020/2021,Health authorities
Vancouver Island Health,"Abundo, Lobelle",,87180,0,2020/2021,Health authorities
Vancouver Island Health,"Acebedo, Estephanie L",,98163,13,2020/2021,Health authorities
Vancouver Island Health,"Acheson, Sabina M",,112025,1348,2020/2021,Health authorities
Vancouver Island Health,"Ackinclose, Tertia",,123495,0,2020/2021,Health authorities
Vancouver Island Health,"Acland, Heidi",,103536,0,2020/2021,Health authorities
Vancouver Island Health,"Acosta, Benjamin A",,91538,0,2020/2021,Health authorities
Vancouver Island Health,"Adaire, Michelle J",,78097,1475,2020/2021,Health authorities
Vancouver Island Health,"Adam, Mairi E",,104369,0,2020/2021,Health authorities
Vancouver Island Health,"Adams, Amanda G",,109965,150,2020/2021,Health authorities
Vancouver Island Health,"Adams, Anita J",,78636,0,2020/2021,Health authorities
Vancouver Island Health,"Adams, Dawn R",,104332,0,2020/2021,Health authorities
Vancouver Island Health,"Adams, Errol B",,79168,622,2020/2021,Health authorities
Vancouver Island Health,"Adams, Susan W",,96673,0,2020/2021,Health authorities
Vancouver Island Health,"Adams, Tammy",,82320,0,2020/2021,Health authorities
Vancouver Island Health,"Adams, Tara N",,86561,0,2020/2021,Health authorities
Vancouver Island Health,"Adams, Tracey L",,133175,1179,2020/2021,Health authorities
Vancouver Island Health,"Addey, Jonathan R",,106304,4491,2020/2021,Health authorities
Vancouver Island Health,"Addison, Diane D",,105178,0,2020/2021,Health authorities
Vancouver Island Health,"Alexander, Nicole A",,84261,0,2020/2021,Health authorities
Vancouver Island Health,"Alexander, Patricia R",,87514,0,2020/2021,Health authorities
Vancouver Island Health,"Alexander, Robyn L",,104334,203,2020/2021,Health authorities
Vancouver Island Health,"Alfaouri, Layla",,77704,4845,2020/2021,Health authorities
Vancouver Island Health,"Alfaro, Renee L",,95843,2543,2020/2021,Health authorities
Vancouver Island Health,"Alguire, Shari E",,108979,0,2020/2021,Health authorities
Vancouver Island Health,"Alhajj, Ali A",,76663,0,2020/2021,Health authorities
Vancouver Island Health,"Ali, Sharon R",,109610,210,2020/2021,Health authorities
Vancouver Island Health,"Alivio, Anaflor C",,142030,4506,2020/2021,Health authorities
Vancouver Island Health,"Allain, Trina K",,100376,442,2020/2021,Health authorities
Vancouver Island Health,"Allam, Rosemarie",,136677,956,2020/2021,Health authorities
Vancouver Island Health,"Allan, Holly J",,92324,0,2020/2021,Health authorities
Vancouver Island Health,"Allan, Joanne T",,105586,66,2020/2021,Health authorities
Vancouver Island Health,"Allan, Krista L",,76391,1267,2020/2021,Health authorities
Vancouver Island Health,"Allarie, Suzette L",,89705,0,2020/2021,Health authorities
Vancouver Island Health,"Allegretto, Michael",,76674,879,2020/2021,Health authorities
Vancouver Island Health,"Allen, Ariel S",,109927,0,2020/2021,Health authorities
Vancouver Island Health,"Allen, Carol A",,118642,0,2020/2021,Health authorities
Vancouver Island Health,"Allen, Cory J",,114718,315,2020/2021,Health authorities
Vancouver Island Health,"Allen, Frances G",,102769,723,2020/2021,Health authorities
Vancouver Island Health,"Allen, Gay E",,101316,168,2020/2021,Health authorities
Vancouver Island Health,"Allen, Heather A",,101720,0,2020/2021,Health authorities
Vancouver Island Health,"Allen, Janis J",,80392,7,2020/2021,Health authorities
