Agency,Name,Position,Remuneration,Expenses,Year,Sector
New West Police,"Jansen, Dave",Chief Constable,238185,3807,2020,Municipal Police
New West Police,,Commercial Vehicle Inspector,95061,0,2020,Municipal Police
New West Police,,Commercial Vehicle Inspector,98722,379,2020,Municipal Police
New West Police,,Constable,117774,795,2020,Municipal Police
New West Police,,Constable,116695,218,2020,Municipal Police
New West Police,,Constable,89842,1068,2020,Municipal Police
New West Police,,Constable,106668,845,2020,Municipal Police
New West Police,,Constable,121551,121,2020,Municipal Police
New West Police,,Constable,121954,95,2020,Municipal Police
New West Police,,Constable,92551,0,2020,Municipal Police
New West Police,,Constable,116113,259,2020,Municipal Police
New West Police,,Constable,118248,95,2020,Municipal Police
New West Police,,Constable,106697,350,2020,Municipal Police
New West Police,,Constable,128115,1000,2020,Municipal Police
New West Police,,Constable,117396,0,2020,Municipal Police
New West Police,,Constable,116036,0,2020,Municipal Police
New West Police,,Constable,130337,0,2020,Municipal Police
New West Police,,Constable,111213,750,2020,Municipal Police
New West Police,,Constable,107275,0,2020,Municipal Police
New West Police,,Constable,81060,0,2020,Municipal Police
New West Police,,Constable,107468,0,2020,Municipal Police
New West Police,,Constable,110473,0,2020,Municipal Police
New West Police,,Constable,123672,0,2020,Municipal Police
New West Police,,Constable,83851,0,2020,Municipal Police
New West Police,,Constable,156019,95,2020,Municipal Police
New West Police,,Constable,87479,68,2020,Municipal Police
New West Police,,Constable,100604,750,2020,Municipal Police
New West Police,,Constable,117572,3702,2020,Municipal Police
New West Police,,Constable,104388,350,2020,Municipal Police
New West Police,,Constable,112733,650,2020,Municipal Police
New West Police,,Constable,105762,1248,2020,Municipal Police
New West Police,,Constable,115702,1039,2020,Municipal Police
New West Police,,Constable,126005,0,2020,Municipal Police
New West Police,,Constable,118506,190,2020,Municipal Police
New West Police,,Constable,168406,148,2020,Municipal Police
New West Police,,Constable,85601,750,2020,Municipal Police
New West Police,,Constable,108979,750,2020,Municipal Police
New West Police,,Constable,134551,95,2020,Municipal Police
New West Police,,Constable,125657,0,2020,Municipal Police
New West Police,,Constable,104580,0,2020,Municipal Police
New West Police,,Constable,89524,0,2020,Municipal Police
New West Police,,Constable,124084,470,2020,Municipal Police
New West Police,,Constable,109430,95,2020,Municipal Police
New West Police,,Constable,123186,4913,2020,Municipal Police
New West Police,,Constable,123957,745,2020,Municipal Police
New West Police,,Constable,91893,750,2020,Municipal Police
New West Police,,Constable,119130,745,2020,Municipal Police
New West Police,,Constable,85311,0,2020,Municipal Police
New West Police,,Constable,101707,53,2020,Municipal Police
New West Police,,Constable,87182,714,2020,Municipal Police
New West Police,,Constable,110467,0,2020,Municipal Police
New West Police,,Constable,120189,0,2020,Municipal Police
New West Police,,Constable,117287,0,2020,Municipal Police
New West Police,,Constable,91323,1851,2020,Municipal Police
New West Police,,Constable,102576,0,2020,Municipal Police
New West Police,,Constable,87507,2016,2020,Municipal Police
New West Police,,Constable,136949,2235,2020,Municipal Police
New West Police,,Constable,107201,3141,2020,Municipal Police
New West Police,,Constable,124662,1340,2020,Municipal Police
New West Police,,Constable,133544,3857,2020,Municipal Police
New West Police,,Constable,127664,1053,2020,Municipal Police
New West Police,,Constable,147801,750,2020,Municipal Police
New West Police,,Constable,102051,0,2020,Municipal Police
New West Police,,Constable,116254,368,2020,Municipal Police
New West Police,,Constable,99920,750,2020,Municipal Police
New West Police,,Constable,140212,406,2020,Municipal Police
New West Police,,Constable,117978,95,2020,Municipal Police
New West Police,,Constable,111764,95,2020,Municipal Police
New West Police,,Constable,102785,0,2020,Municipal Police
New West Police,,Constable,128290,2202,2020,Municipal Police
New West Police,,Constable,122385,750,2020,Municipal Police
New West Police,,Constable,123462,845,2020,Municipal Police
New West Police,,Constable,115295,745,2020,Municipal Police
New West Police,,Constable,132078,95,2020,Municipal Police
New West Police,,Constable,216192,1245,2020,Municipal Police
New West Police,,Constable,99165,1422,2020,Municipal Police
New West Police,,Constable,135567,1321,2020,Municipal Police
New West Police,,Constable,111689,700,2020,Municipal Police
New West Police,,Constable,107529,1151,2020,Municipal Police
New West Police,,Constable,107396,898,2020,Municipal Police
New West Police,,Constable,83184,0,2020,Municipal Police
New West Police,,Constable,89588,1785,2020,Municipal Police
New West Police,,Constable,132030,0,2020,Municipal Police
New West Police,,Constable,142880,1804,2020,Municipal Police
New West Police,,Constable,127734,2636,2020,Municipal Police
New West Police,,Constable,112393,411,2020,Municipal Police
New West Police,,Constable,109690,350,2020,Municipal Police
New West Police,,Constable,113029,2072,2020,Municipal Police
New West Police,,Constable,119653,7693,2020,Municipal Police
New West Police,,Constable,119953,95,2020,Municipal Police
New West Police,,Constable,113316,0,2020,Municipal Police
New West Police,,Constable,102723,0,2020,Municipal Police
New West Police,,Constable,109254,1465,2020,Municipal Police
New West Police,,Constable,141627,445,2020,Municipal Police
New West Police,,Constable,127734,905,2020,Municipal Police
New West Police,,Constable,107156,411,2020,Municipal Police
New West Police,,Constable,119553,497,2020,Municipal Police
New West Police,,Constable,118673,0,2020,Municipal Police
New West Police,"Hyland, Paul",Deputy Chief Constable,210974,1470,2020,Municipal Police
New West Police,"Dudar, Trevor",Inspector,189943,95,2020,Municipal Police
New West Police,"Matsumoto, Todd",Inspector,199080,95,2020,Municipal Police
New West Police,"Mcdaniel, Diana",Inspector,175615,148,2020,Municipal Police
New West Police,"Mullin, Christopher",Inspector,190323,95,2020,Municipal Police
New West Police,,Sergeant,126524,95,2020,Municipal Police
New West Police,,Sergeant,142309,329,2020,Municipal Police
New West Police,,Sergeant,138637,11576,2020,Municipal Police
New West Police,,Sergeant,133646,0,2020,Municipal Police
New West Police,,Sergeant,162440,173,2020,Municipal Police
New West Police,,Sergeant,148859,0,2020,Municipal Police
New West Police,,Sergeant,138589,0,2020,Municipal Police
New West Police,,Sergeant,125335,0,2020,Municipal Police
New West Police,,Sergeant,153596,350,2020,Municipal Police
New West Police,,Sergeant,135017,750,2020,Municipal Police
New West Police,,Sergeant,137251,0,2020,Municipal Police
New West Police,,Sergeant,125251,0,2020,Municipal Police
New West Police,,Sergeant,135018,0,2020,Municipal Police
New West Police,,Sergeant,136896,0,2020,Municipal Police
New West Police,,Sergeant,78951,476,2020,Municipal Police
New West Police,,Sergeant,142000,733,2020,Municipal Police
New West Police,,Sergeant,137361,95,2020,Municipal Police
New West Police,,Staff Sergeant,137237,121,2020,Municipal Police
New West Police,,Staff Sergeant,145134,128,2020,Municipal Police
New West Police,,Staff Sergeant,146667,95,2020,Municipal Police
New West Police,,Staff Sergeant,140324,469,2020,Municipal Police
New West Police,,Staff Sergeant,150768,224,2020,Municipal Police
New West Police,,Staff Sergeant,141451,13,2020,Municipal Police
New West Police,,Staff Sergeant,151934,95,2020,Municipal Police
New West Police,,Staff Sergeant,150816,3848,2020,Municipal Police
New West Police,,Staff Sergeant,148305,0,2020,Municipal Police
New West Police,,Property Control Officer,94654,68,2020,Municipal Police
Transit Police,,Constable,126945,2239,2020,Municipal Police
Transit Police,,Constable,110109,,2020,Municipal Police
Transit Police,,Constable,130400,500,2020,Municipal Police
Transit Police,,Constable,94688,962,2020,Municipal Police
Transit Police,,Constable,115203,4104,2020,Municipal Police
Transit Police,,Constable,131173,1500,2020,Municipal Police
Transit Police,,Constable,87074,,2020,Municipal Police
Transit Police,,Constable,106273,1552,2020,Municipal Police
Transit Police,,Constable,113536,,2020,Municipal Police
Transit Police,,Constable,116090,346,2020,Municipal Police
Transit Police,,Constable,115902,,2020,Municipal Police
Transit Police,,Constable,86567,,2020,Municipal Police
Transit Police,,Constable,109557,,2020,Municipal Police
Transit Police,,Constable,118532,,2020,Municipal Police
Transit Police,,Constable,112167,130,2020,Municipal Police
Transit Police,,Constable,84876,55,2020,Municipal Police
Transit Police,,Constable,84745,,2020,Municipal Police
Transit Police,,Constable,112715,,2020,Municipal Police
Transit Police,,Constable,100890,11,2020,Municipal Police
Transit Police,,Constable,116929,,2020,Municipal Police
Transit Police,,Constable,78240,900,2020,Municipal Police
Transit Police,,Constable,111932,519,2020,Municipal Police
Transit Police,,Constable,91618,,2020,Municipal Police
Transit Police,,Constable,123940,150,2020,Municipal Police
Transit Police,,Constable,122928,1500,2020,Municipal Police
Transit Police,,Constable,143079,511,2020,Municipal Police
Transit Police,,Constable,95836,1141,2020,Municipal Police
Transit Police,,Constable,104161,763,2020,Municipal Police
Transit Police,,Constable,124592,208,2020,Municipal Police
Transit Police,,Constable,113858,246,2020,Municipal Police
Transit Police,,Constable,90758,,2020,Municipal Police
Transit Police,,Constable,98775,318,2020,Municipal Police
Transit Police,,Constable,108975,15,2020,Municipal Police
Transit Police,,Constable,94648,96,2020,Municipal Police
Transit Police,,Constable,129528,,2020,Municipal Police
Transit Police,,Constable,85635,81,2020,Municipal Police
Transit Police,,Constable,120360,,2020,Municipal Police
Transit Police,,Constable,83886,,2020,Municipal Police
Transit Police,,Constable,111533,413,2020,Municipal Police
Transit Police,,Constable,124003,,2020,Municipal Police
Transit Police,,Constable,115578,,2020,Municipal Police
Transit Police,,Constable,115143,,2020,Municipal Police
Transit Police,,Constable,105864,475,2020,Municipal Police
Transit Police,,Constable,114892,,2020,Municipal Police
Transit Police,,Constable,124130,475,2020,Municipal Police
Transit Police,,Constable,143002,1500,2020,Municipal Police
Transit Police,,Constable,111617,310,2020,Municipal Police
Transit Police,,Constable,109092,475,2020,Municipal Police
Transit Police,,Constable,114267,208,2020,Municipal Police
Transit Police,,Constable,134568,1779,2020,Municipal Police
Transit Police,,Constable,110668,6798,2020,Municipal Police
Transit Police,,Constable,117337,2500,2020,Municipal Police
Transit Police,,Constable,103905,943,2020,Municipal Police
Transit Police,,Constable,92476,,2020,Municipal Police
Transit Police,,Constable,97587,,2020,Municipal Police
Transit Police,,Constable,120773,410,2020,Municipal Police
Transit Police,,Constable,114101,11,2020,Municipal Police
Transit Police,,Constable,123686,2746,2020,Municipal Police
Transit Police,,Constable,133095,1146,2020,Municipal Police
Transit Police,,Constable,113256,510,2020,Municipal Police
Transit Police,,Constable,93975,1211,2020,Municipal Police
Transit Police,,Constable,94629,587,2020,Municipal Police
Transit Police,,Constable,110088,,2020,Municipal Police
Transit Police,,Constable,106530,96,2020,Municipal Police
Transit Police,,Constable,112580,,2020,Municipal Police
Transit Police,,Constable,116936,318,2020,Municipal Police
Transit Police,,Constable,100124,100,2020,Municipal Police
Transit Police,,Constable,117245,26,2020,Municipal Police
Transit Police,,Constable,97156,943,2020,Municipal Police
Transit Police,,Constable,81472,199,2020,Municipal Police
Transit Police,,Constable,92681,,2020,Municipal Police
Transit Police,,Constable,93290,,2020,Municipal Police
Transit Police,,Constable,121312,,2020,Municipal Police
Transit Police,,Constable,129266,2300,2020,Municipal Police
Transit Police,,Constable,120474,,2020,Municipal Police
Transit Police,,Constable,100174,1552,2020,Municipal Police
Transit Police,,Constable,132452,1223,2020,Municipal Police
Transit Police,,Constable,110052,300,2020,Municipal Police
Transit Police,,Constable,146566,,2020,Municipal Police
Transit Police,,Constable,86607,208,2020,Municipal Police
Transit Police,,Constable,117901,,2020,Municipal Police
Transit Police,,Constable,118089,3258,2020,Municipal Police
Transit Police,,Constable,115701,,2020,Municipal Police
Transit Police,,Constable,100719,475,2020,Municipal Police
Transit Police,,Constable,128430,,2020,Municipal Police
Transit Police,,Constable,109678,318,2020,Municipal Police
Transit Police,,Constable,115001,3909,2020,Municipal Police
Transit Police,,Constable,103553,4000,2020,Municipal Police
Transit Police,,Constable,96405,468,2020,Municipal Police
Transit Police,,Constable,116864,305,2020,Municipal Police
Transit Police,,Constable,81162,100,2020,Municipal Police
Transit Police,,Constable,84604,150,2020,Municipal Police
Transit Police,,Constable,124755,300,2020,Municipal Police
Transit Police,,Constable,100468,,2020,Municipal Police
Transit Police,,Constable,87416,150,2020,Municipal Police
Transit Police,,Constable,115134,598,2020,Municipal Police
Transit Police,,Constable,114090,550,2020,Municipal Police
Transit Police,,Constable,106166,637,2020,Municipal Police
Transit Police,,Constable,106358,475,2020,Municipal Police
Transit Police,,Constable,116907,34,2020,Municipal Police
Transit Police,,Constable,107061,318,2020,Municipal Police
Transit Police,,Constable,98997,500,2020,Municipal Police
Transit Police,,Constable,85167,100,2020,Municipal Police
Transit Police,,Constable,95469,,2020,Municipal Police
Transit Police,,Constable,116632,,2020,Municipal Police
Transit Police,,Constable,147810,1500,2020,Municipal Police
Transit Police,,Constable,123254,1459,2020,Municipal Police
Transit Police,,Constable,117723,,2020,Municipal Police
Transit Police,,Constable,99793,318,2020,Municipal Police
Transit Police,,Constable,115221,1500,2020,Municipal Police
Transit Police,,Constable,90425,623,2020,Municipal Police
Transit Police,,Constable,114503,80,2020,Municipal Police
Transit Police,,Constable,110220,4042,2020,Municipal Police
Transit Police,,Constable,153985,1500,2020,Municipal Police
Transit Police,,Constable,82341,96,2020,Municipal Police
Transit Police,,Constable,115313,609,2020,Municipal Police
Transit Police,,Constable,109844,80,2020,Municipal Police
Transit Police,,Constable,90822,,2020,Municipal Police
Transit Police,,Constable,108824,229,2020,Municipal Police
Transit Police,,Constable,132315,,2020,Municipal Police
Transit Police,,Constable,116652,277,2020,Municipal Police
Transit Police,,Constable,89364,9,2020,Municipal Police
Transit Police,,Constable,102336,,2020,Municipal Police
Transit Police,,Constable,117717,208,2020,Municipal Police
Transit Police,,Constable,103855,643,2020,Municipal Police
Transit Police,,Sergeant,175489,800,2020,Municipal Police
Transit Police,,Sergeant,133975,69,2020,Municipal Police
Transit Police,,Sergeant,135382,,2020,Municipal Police
Transit Police,,Sergeant,143462,1134,2020,Municipal Police
Transit Police,,Sergeant,130639,1500,2020,Municipal Police
Transit Police,,Sergeant,138151,,2020,Municipal Police
Transit Police,,Sergeant,143052,800,2020,Municipal Police
Transit Police,,Sergeant,130814,2668,2020,Municipal Police
Transit Police,,Sergeant,126697,1008,2020,Municipal Police
Transit Police,,Sergeant,141860,,2020,Municipal Police
Transit Police,,Sergeant,149235,,2020,Municipal Police
Transit Police,,Sergeant,147757,1500,2020,Municipal Police
Transit Police,,Sergeant,128454,1487,2020,Municipal Police
Transit Police,,Sergeant,145457,,2020,Municipal Police
Transit Police,,Sergeant,141225,300,2020,Municipal Police
Transit Police,,Sergeant,128572,1327,2020,Municipal Police
Transit Police,,Sergeant,145139,,2020,Municipal Police
Transit Police,,Sergeant,173537,1500,2020,Municipal Police
Transit Police,,Sergeant,134947,750,2020,Municipal Police
Transit Police,,Sergeant,133457,,2020,Municipal Police
Transit Police,,Sergeant,129801,,2020,Municipal Police
Transit Police,,Sergeant,148100,,2020,Municipal Police
Transit Police,,Sergeant,121963,2057,2020,Municipal Police
Transit Police,,Sergeant,153386,18,2020,Municipal Police
Transit Police,,Staff Sergeant,196540,,2020,Municipal Police
Transit Police,,Staff Sergeant,154140,1529,2020,Municipal Police
Transit Police,,Staff Sergeant,157543,1642,2020,Municipal Police
Transit Police,,Staff Sergeant,154357,69,2020,Municipal Police
Transit Police,,Staff Sergeant,156288,,2020,Municipal Police
Transit Police,,Staff Sergeant,146346,150,2020,Municipal Police
Transit Police,,Staff Sergeant,143671,546,2020,Municipal Police
Transit Police,,Staff Sergeant,151125,500,2020,Municipal Police
