Agency,Name,Position,Remuneration,Expenses,Year,Sector
Abbotsford school district,"Sidhu, Ramandeep",Teacher,75083,0,2020/2021,School districts
Abbotsford school district,"Wood, Melissa",Teacher,75127,0,2020/2021,School districts
Abbotsford school district,"Dulay, Rajvinder",Teacher,75129,0,2020/2021,School districts
Abbotsford school district,"Homoncik, Teresa",Teacher,75143,0,2020/2021,School districts
Abbotsford school district,"Koloska, Irmgard",Teacher,75143,45,2020/2021,School districts
Abbotsford school district,"Ulrich, Katerina",Teacher,75164,0,2020/2021,School districts
Abbotsford school district,"Heise, Kirstin",Teacher,75166,15,2020/2021,School districts
Abbotsford school district,"Steffen, Corinne",Teacher,75167,0,2020/2021,School districts
Abbotsford school district,"Dirom, Seonid",Teacher,75168,0,2020/2021,School districts
Abbotsford school district,"Sekhon, Amandeep",Teacher,75175,765,2020/2021,School districts
Abbotsford school district,"Testa, Moira",Teacher,75182,125,2020/2021,School districts
Abbotsford school district,"Pedersen, Richel",Teacher,75274,0,2020/2021,School districts
Abbotsford school district,"Shapansky, Dustin",Teacher,75274,547,2020/2021,School districts
Abbotsford school district,"Hodgins, Danae",Teacher,75281,300,2020/2021,School districts
Abbotsford school district,"Fadden, Georgia",Teacher,75380,896,2020/2021,School districts
Abbotsford school district,"Alexander, Stephanie",Teacher,75544,0,2020/2021,School districts
Abbotsford school district,"Lepine, Leasa",Teacher,75571,0,2020/2021,School districts
Abbotsford school district,"Saler, Dean",Tech Support  Infrastructure,75691,0,2020/2021,School districts
Abbotsford school district,"Oravec, Kacey",Teacher,75710,0,2020/2021,School districts
Abbotsford school district,"Parsons, Robert",Teacher,75716,233,2020/2021,School districts
Abbotsford school district,"Sagert, Nathan",Teacher,75747,0,2020/2021,School districts
Abbotsford school district,"Bevan, Bonnie",Teacher,75772,45,2020/2021,School districts
Abbotsford school district,"Roberts, Paul",Foreman,75900,2086,2020/2021,School districts
Abbotsford school district,"Sun, Jennifer",Teacher,75929,819,2020/2021,School districts
Abbotsford school district,"Mantta, Angeline",Teacher,75940,0,2020/2021,School districts
Abbotsford school district,"Jackson, Ronald",Teacher,76010,91,2020/2021,School districts
Abbotsford school district,"Foster, Jeanine",Teacher,76053,0,2020/2021,School districts
Abbotsford school district,"Grewal, Pawandeep",Teacher,76057,0,2020/2021,School districts
Abbotsford school district,"Douglas, Heather",Teacher,76230,25,2020/2021,School districts
Abbotsford school district,"Young, Patricia",Teacher,76369,0,2020/2021,School districts
Abbotsford school district,"Cairns, Lorne",Teacher,76409,53,2020/2021,School districts
Abbotsford school district,"Prins, David",Teacher,76587,0,2020/2021,School districts
Abbotsford school district,"Coyle, Jacilyn",Teacher,76630,47,2020/2021,School districts
Abbotsford school district,"Lawrence, Taryn",Teacher,76667,245,2020/2021,School districts
Abbotsford school district,"Kropp, Leanne",Teacher,76669,0,2020/2021,School districts
Abbotsford school district,"Molina, Nelson",Foreman,76856,1022,2020/2021,School districts
Abbotsford school district,"Vaid, Bharwat",Teacher,76874,0,2020/2021,School districts
Abbotsford school district,"Snow, Joanne",Teacher,76915,0,2020/2021,School districts
Abbotsford school district,"Levings, Brenna",Teacher,76924,0,2020/2021,School districts
Abbotsford school district,"Kent, Kelsey",Teacher,76980,126,2020/2021,School districts
Abbotsford school district,"Schmidt, Michael",Teacher,77078,0,2020/2021,School districts
Abbotsford school district,"Dejong, James","Journeyman, Electrician",77099,209,2020/2021,School districts
Abbotsford school district,"Chauhan, Kalwant",Teacher,77140,0,2020/2021,School districts
Abbotsford school district,"Voth, Bonnie",Teacher,77178,0,2020/2021,School districts
Abbotsford school district,"Erickson, Joan",Teacher,77179,30,2020/2021,School districts
Abbotsford school district,"Johnson, Tanya",Teacher,77179,30,2020/2021,School districts
Abbotsford school district,"Jutras, Pamela",Teacher,77179,0,2020/2021,School districts
Abbotsford school district,"Pearson, Maria",Teacher,77179,0,2020/2021,School districts
Abbotsford school district,"Pestana, Annelise",Teacher,77179,0,2020/2021,School districts
Abbotsford school district,"Postlethwaite, Susan",Teacher,77179,0,2020/2021,School districts
Abbotsford school district,"Randhawa, Sukhjeven",Teacher,77179,0,2020/2021,School districts
Abbotsford school district,"Clarke, Kenyon",Facilities Project Coordinator,77185,247,2020/2021,School districts
Abbotsford school district,"Perron, Josee",Teacher,77195,0,2020/2021,School districts
Abbotsford school district,"Veer, Denise",Teacher,77368,0,2020/2021,School districts
Abbotsford school district,"Klassen, Jillene",Teacher,77457,0,2020/2021,School districts
Abbotsford school district,"Fox, Kristina",Teacher,77489,0,2020/2021,School districts
Abbotsford school district,"Mccall, Joel",Teacher,77545,158,2020/2021,School districts
Abbotsford school district,"Martens, David",Teacher,77590,0,2020/2021,School districts
Abbotsford school district,"Johnson, Christa",Teacher,77601,0,2020/2021,School districts
Abbotsford school district,"Snyder, Christopher",Teacher,77711,52,2020/2021,School districts
Abbotsford school district,"O’Hara, Danielle",Teacher,77856,456,2020/2021,School districts
Abbotsford school district,"Holwerda, Randal",Teacher,77863,0,2020/2021,School districts
Abbotsford school district,"Macdonald, Taryn",Teacher,77876,262,2020/2021,School districts
Abbotsford school district,"Glendinning, Regan",Teacher,77893,0,2020/2021,School districts
Abbotsford school district,"Drain, Jennifer",Teacher,77894,30,2020/2021,School districts
Abbotsford school district,"Horst, Jessica",Teacher,77958,0,2020/2021,School districts
Abbotsford school district,"Brock, Richelle",Teacher,77982,40,2020/2021,School districts
Abbotsford school district,"Sanford, Katie",Teacher,78143,435,2020/2021,School districts
Abbotsford school district,"Morran, Elizabeth",Teacher,78201,0,2020/2021,School districts
Abbotsford school district,"Nairn, Heather",Teacher,78203,0,2020/2021,School districts
Abbotsford school district,"Mcleod, Cheryl",Executive Assistant,78249,1379,2020/2021,School districts
Abbotsford school district,"Van Hove, Sandra",Teacher,78387,0,2020/2021,School districts
Abbotsford school district,"Watson, Christopher",Teacher,78508,0,2020/2021,School districts
Abbotsford school district,"Penner, Curtis",Teacher,78510,125,2020/2021,School districts
Abbotsford school district,"Lawton, Marissa",Teacher,78548,0,2020/2021,School districts
Abbotsford school district,"Warren, Evan",Teacher,78694,0,2020/2021,School districts
Abbotsford school district,"Baerg, Jennifer",Teacher,78697,165,2020/2021,School districts
Abbotsford school district,"Martin, David",Tech Support  Infrastructure,78753,0,2020/2021,School districts
Abbotsford school district,"AshleyPryce, Ryan",Teacher,78816,0,2020/2021,School districts
Abbotsford school district,"Anserello, Amanda",Teacher,78905,0,2020/2021,School districts
